"Date","daily_AirTemp_C","daily_RH_percent","daily_Rain_Total_mm","daily_WindSpeed_Average_m_s","daily_WindDir_degrees","daily_ShortwaveRadiationDown_Average_W_m2","daily_InfraredRadiationDown_Average_W_m2","daily_PAR_Average_umol_s_m2"
2014-05-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-31,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-10,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-11,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-12,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-13,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-14,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-15,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-16,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-17,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-18,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-19,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-21,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-22,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-24,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-25,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-27,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-28,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-30,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-31,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-03,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-04,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-05,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-07,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-08,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-10,NA,NA,NA,NA,NA,NA,NA,NA
