"Date","CTDChla_ugL_above","CTDChla_ugL","CTDChla_ugL_below","CTDChla_ugL_lag","CTDChla_ugL_above_lag","CTDChla_ugL_below_lag","daily_EXOChla_ugL_1","daily_EXOBGAPC_ugL_1","daily_EXOChla_ugL_1_lag1","daily_EXOBGAPC_ugL_1_lag1","daily_EXOChla_ugL_1_lag2","daily_EXOBGAPC_ugL_1_lag2","daily_EXOChla_ugL_1_lag3","daily_EXOBGAPC_ugL_1_lag3","daily_EXOChla_ugL_1_lag4","daily_EXOBGAPC_ugL_1_lag4","daily_EXOChla_ugL_1_lag5","daily_EXOBGAPC_ugL_1_lag5","daily_EXOChla_ugL_1_lag6","daily_EXOBGAPC_ugL_1_lag6","daily_EXOChla_ugL_1_lag7","daily_EXOBGAPC_ugL_1_lag7","GreenAlgae_ugL_above","GreenAlgae_ugL","GreenAlgae_ugL_below","Bluegreens_ugL_above","Bluegreens_ugL","Bluegreens_ugL_below","BrownAlgae_ugL_above","BrownAlgae_ugL","BrownAlgae_ugL_below","MixedAlgae_ugL_above","MixedAlgae_ugL","MixedAlgae_ugL_below","GreenAlgae_ugL_lag","GreenAlgae_ugL_above_lag","GreenAlgae_ugL_below_lag","Bluegreens_ugL_lag","Bluegreens_ugL_above_lag","Bluegreens_ugL_below_lag","BrownAlgae_ugL_lag","BrownAlgae_ugL_above_lag","BrownAlgae_ugL_below_lag","MixedAlgae_ugL_lag","MixedAlgae_ugL_above_lag","MixedAlgae_ugL_below_lag"
2014-05-05,0.6745,0.9284,1.5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,0,1.04,0.31,0,0.36,0.53,1.87,1.74,0,0.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-06,0.5991,1.2855,1.706,0.9284,0.6745,1.5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,2.24,0,0.34,0,0,0,0,1.86,0,0.68,0,0,3.65,1.04,0,0.31,0.36,1.87,0.53,1.74,0.83,0,0
2014-05-07,0.7935,0.98,0.9284,1.2855,0.5991,1.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-08,0.5674,0.8213,1.2458,0.98,0.7935,0.9284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0,1.68,0,0,0.03,0.965,2.08,0.82,0.145,0.65,0,2.24,2.19,0,0,0.34,0,0,0,1.86,0.68,0,0
2014-05-09,0.7499,1.0117,1.2696,0.8213,0.5674,1.2458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-10,2.5431,2.5629,2.6542,1.0117,0.7499,1.2696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-12,0.8847,1.1387,1.4759,2.5629,2.5431,2.6542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-14,0.7062,1.1307,1.2656,1.1387,0.8847,1.4759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
