"Date","CTDTemp_C","daily_EXOTemp_C_1","daily_ThermistorTemp_C_1","YSITemp_C","Temp_C"
2014-05-05,15.3713,NA,NA,NA,15.3713
2014-05-06,14.8694,NA,NA,NA,14.8694
2014-05-07,15.5915,NA,NA,NA,15.5915
2014-05-08,16.9945,NA,NA,NA,16.9945
2014-05-09,16.8538,NA,NA,NA,16.8538
2014-05-10,17.6781,NA,NA,NA,17.6781
2014-05-11,NA,NA,NA,NA,NA
2014-05-12,17.685,NA,NA,NA,17.685
2014-05-13,NA,NA,NA,NA,NA
2014-05-14,18.1739,NA,NA,NA,18.1739
2014-05-15,18.1752,NA,NA,NA,18.1752
2014-05-16,NA,NA,NA,NA,NA
2014-05-17,NA,NA,NA,NA,NA
2014-05-18,NA,NA,NA,NA,NA
2014-05-19,16.8225,NA,NA,NA,16.8225
2014-05-20,NA,NA,NA,NA,NA
2014-05-21,NA,NA,NA,NA,NA
2014-05-22,18.413,NA,NA,NA,18.413
2014-05-23,NA,NA,NA,NA,NA
2014-05-24,NA,NA,NA,NA,NA
2014-05-25,NA,NA,NA,NA,NA
2014-05-26,19.9368,NA,NA,NA,19.9368
2014-05-27,NA,NA,NA,NA,NA
2014-05-28,25.7989,NA,NA,NA,25.7989
2014-05-29,NA,NA,NA,NA,NA
2014-05-30,NA,NA,NA,NA,NA
2014-05-31,NA,NA,NA,NA,NA
2014-06-01,NA,NA,NA,NA,NA
2014-06-02,19.962,NA,NA,NA,19.962
2014-06-03,20.4293,NA,NA,NA,20.4293
2014-06-04,21.3108,NA,NA,NA,21.3108
2014-06-05,20.9391,NA,NA,NA,20.9391
2014-06-06,21.4176,NA,NA,NA,21.4176
2014-06-07,NA,NA,NA,NA,NA
2014-06-08,NA,NA,NA,NA,NA
2014-06-09,22.2401,NA,NA,23.2,22.2401
2014-06-10,NA,NA,NA,NA,NA
2014-06-11,NA,NA,NA,NA,NA
2014-06-12,21.8129,NA,NA,NA,21.8129
2014-06-13,NA,NA,NA,NA,NA
2014-06-14,NA,NA,NA,NA,NA
2014-06-15,NA,NA,NA,NA,NA
2014-06-16,22.8787,NA,NA,NA,22.8787
2014-06-17,NA,NA,NA,NA,NA
2014-06-18,NA,NA,NA,NA,NA
2014-06-19,24.0161,NA,NA,NA,24.0161
2014-06-20,NA,NA,NA,NA,NA
2014-06-21,NA,NA,NA,NA,NA
2014-06-22,NA,NA,NA,NA,NA
2014-06-23,24.0891,NA,NA,NA,24.0891
2014-06-24,NA,NA,NA,NA,NA
2014-06-25,24.8583,NA,NA,NA,24.8583
2014-06-26,NA,NA,NA,NA,NA
2014-06-27,NA,NA,NA,NA,NA
2014-06-28,NA,NA,NA,NA,NA
2014-06-29,24.8403,NA,NA,NA,24.8403
2014-06-30,24.2948,NA,NA,NA,24.2948
2014-07-01,24.8722,NA,NA,NA,24.8722
2014-07-02,25.667,NA,NA,NA,25.667
2014-07-03,NA,NA,NA,NA,NA
2014-07-04,NA,NA,NA,NA,NA
2014-07-05,NA,NA,NA,NA,NA
2014-07-06,NA,NA,NA,NA,NA
2014-07-07,24.3004,NA,NA,NA,24.3004
2014-07-08,NA,NA,NA,NA,NA
2014-07-09,24.8063,NA,NA,NA,24.8063
2014-07-10,NA,NA,NA,NA,NA
2014-07-11,NA,NA,NA,NA,NA
2014-07-12,NA,NA,NA,NA,NA
2014-07-13,NA,NA,NA,NA,NA
2014-07-14,25.6012,NA,NA,NA,25.6012
2014-07-15,NA,NA,NA,NA,NA
2014-07-16,25.58,NA,NA,NA,25.58
2014-07-17,NA,NA,NA,NA,NA
2014-07-18,NA,NA,NA,NA,NA
2014-07-19,NA,NA,NA,NA,NA
2014-07-20,NA,NA,NA,NA,NA
2014-07-21,23.9154,NA,NA,NA,23.9154
2014-07-22,NA,NA,NA,NA,NA
2014-07-23,24.7624,NA,NA,NA,24.7624
2014-07-24,NA,NA,NA,NA,NA
2014-07-25,NA,NA,NA,NA,NA
2014-07-26,NA,NA,NA,NA,NA
2014-07-27,NA,NA,NA,NA,NA
2014-07-28,24.945,NA,NA,NA,24.945
2014-07-29,NA,NA,NA,NA,NA
2014-07-30,23.626,NA,NA,NA,23.626
2014-07-31,NA,NA,NA,NA,NA
2014-08-01,NA,NA,NA,NA,NA
2014-08-02,23.1282,NA,NA,NA,23.1282
2014-08-03,NA,NA,NA,NA,NA
2014-08-04,23.3929,NA,NA,NA,23.3929
2014-08-05,NA,NA,NA,NA,NA
2014-08-06,23.8384,NA,NA,NA,23.8384
2014-08-07,NA,NA,NA,NA,NA
2014-08-08,NA,NA,NA,NA,NA
2014-08-09,23.2506,NA,NA,NA,23.2506
2014-08-10,22.3999,NA,NA,NA,22.3999
2014-08-11,22.2812,NA,NA,NA,22.2812
2014-08-12,NA,NA,NA,NA,NA
2014-08-13,22.5154,NA,NA,NA,22.5154
2014-08-14,NA,NA,NA,NA,NA
2014-08-15,NA,NA,NA,NA,NA
2014-08-16,NA,NA,NA,NA,NA
2014-08-17,NA,NA,NA,NA,NA
2014-08-18,22.5314,NA,NA,NA,22.5314
