"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-06-30,1,3.17438790073513,-3.14847841932836,-10.3174929895629,-14.7544237626954,2021-06-30
2021-07-01,1,4.50120818574604,-1.04510182750011,-10.7546148159699,-9.96717311714287,2021-06-30
2021-07-02,1,5.08844964012719,0.953506327506287,-8.28476276017625,-7.60409006721492,2021-06-30
2021-07-03,1,6.52258727566835,-2.14461085858861,-13.4575354027513,-8.20275216997114,2021-06-30
2021-07-04,1,4.66025099662711,1.39497260856178,-3.95153402600865,-1.74659737665477,2021-06-30
2021-07-05,1,5.81486469970619,-3.11399512645302,-9.82251655633173,-8.58517722935388,2021-06-30
2021-07-06,1,4.26246155126906,-0.64651218591824,-2.75519617514964,-4.21657420476309,2021-06-30
2021-07-07,1,6.53666413769926,-4.92762716681337,-12.1222021237299,-10.7390814194873,2021-06-30
2021-07-08,1,7.01284568060279,-5.44341105943674,-11.7875027214311,-9.29911633289727,2021-06-30
2021-07-09,1,7.29074506427337,-5.38946260146943,-10.6148392939742,-5.38570799466501,2021-06-30
2021-07-10,1,7.28096458708126,-7.25485496072052,-10.5906719362463,-8.58354689620716,2021-06-30
2021-06-30,2,3.99878489510058,-3.44665012969651,-10.328240481738,-12.2417708923717,2021-06-30
2021-07-01,2,5.18165826518984,-1.39761601209605,-10.5105741447028,-10.4934662452172,2021-06-30
2021-07-02,2,5.33456636332426,1.63104257396621,-7.38326612101037,-4.94143127330256,2021-06-30
2021-07-03,2,6.73654631900549,-3.38584310683082,-13.7070633825859,-10.6775962280134,2021-06-30
2021-07-04,2,7.4261548345077,-3.95015742485384,-13.9460941415225,-9.04773065919983,2021-06-30
2021-07-05,2,8.03889643100526,-4.48286856530989,-13.5473474114517,-6.85143879598618,2021-06-30
2021-07-06,2,8.2769639112531,-4.80253040722713,-11.9736456475492,-2.88873318419905,2021-06-30
2021-07-07,2,8.47348121235872,-6.17571364197394,-10.6604895596796,-6.18638195787544,2021-06-30
2021-07-08,2,7.58144319796339,-5.79635172413637,-8.45026287418456,-2.39767562203373,2021-06-30
2021-07-09,2,8.07251463971475,-7.71257312046946,-12.0343970844889,-6.63250172455455,2021-06-30
2021-07-10,2,6.99252645142009,-6.1835548692175,-7.07159080602792,-2.05165479532049,2021-06-30
2021-06-30,3,3.11787901036157,-3.56709613086791,-10.7364543268216,-14.110555529561,2021-06-30
2021-07-01,3,4.39048824471993,-3.75856594864281,-11.2890839842688,-11.478585261682,2021-06-30
2021-07-02,3,3.720215518964,-0.767743202688349,-4.52137673963731,-5.16769745974487,2021-06-30
2021-07-03,3,5.82359978917986,-4.71554406947456,-13.1177205049286,-13.0740790387056,2021-06-30
2021-07-04,3,5.91933438232594,-4.65335825727208,-12.4300366305488,-10.6749841456433,2021-06-30
2021-07-05,3,6.53307434838533,-4.87455559514162,-13.3302815732065,-11.9408456410289,2021-06-30
2021-07-06,3,6.88710265861385,-4.78670670708271,-12.5023762672215,-4.05049561353646,2021-06-30
2021-07-07,3,7.16150299408582,-5.04484736244117,-10.5724645910568,-5.37527436049744,2021-06-30
2021-07-08,3,7.9554598559511,-3.82097576667467,-12.0226413778434,-6.52771190197851,2021-06-30
2021-07-09,3,7.76523231256398,-3.0021056654275,-11.1069335619083,-6.31886856760295,2021-06-30
2021-07-10,3,7.7216157631521,-2.58936474970493,-9.68930521896853,-3.62856582927121,2021-06-30
2021-06-30,4,4.061654110674,-3.90201646960642,-10.40181979539,-13.9676499536959,2021-06-30
2021-07-01,4,3.86406524488718,-0.618764853663418,-5.59220583496931,-4.406598868839,2021-06-30
2021-07-02,4,6.4042153255638,-2.15295918669321,-12.2526109708146,-9.04305056047569,2021-06-30
2021-07-03,4,7.70266225408377,-2.18839294599142,-14.0626351231497,-7.919692996173,2021-06-30
2021-07-04,4,7.43815258426312,-4.24809499571752,-13.6629842308387,-9.42524089885054,2021-06-30
2021-07-05,4,7.34258334744954,-4.38073141871148,-12.2197072935888,-4.61347963666812,2021-06-30
2021-07-06,4,7.90695768558836,-5.83811318925285,-13.4462352522743,-8.52672842104985,2021-06-30
2021-07-07,4,8.43214417982576,-5.40281734025276,-13.4364379768468,-8.34668600074862,2021-06-30
2021-07-08,4,8.36254044528266,-3.11736884904908,-11.8642503997737,-4.07040866459741,2021-06-30
2021-07-09,4,9.18190331186667,-3.2582698770255,-13.9495135406096,-4.7283955941737,2021-06-30
2021-07-10,4,7.15940447990952,1.06785214307532,-4.64101769856796,2.56819817364906,2021-06-30
2021-06-30,5,3.71515638076355,-4.40960510553298,-11.820661638175,-15.972028584449,2021-06-30
2021-07-01,5,4.31726028113685,-2.37481949279397,-8.35591464561979,-11.2812716031258,2021-06-30
2021-07-02,5,3.83443033592701,-1.52429218554441,-6.18286206636853,-6.03694801502492,2021-06-30
2021-07-03,5,5.47080183269271,-5.15755280368436,-13.2290590592108,-12.1476588851488,2021-06-30
