"fc_date","ensemble_member","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","issue_date"
2021-05-15,1,3.98036142494933,-4.68459494600267,-10.0857282511669,-10.5848842066758,2021-05-15
2021-05-16,1,2.80217739992808,-2.54670504887405,-2.26929003881822,-3.05300603643772,2021-05-15
2021-05-17,1,3.44560788994529,-2.38100252346281,-3.21191256133377,-5.55777526603104,2021-05-15
2021-05-18,1,4.1732321651944,-3.36790009848676,-5.86082850190328,-7.09996973958454,2021-05-15
2021-05-19,1,4.65171306170222,-5.80502999477521,-8.86146031713978,-11.0426045739522,2021-05-15
2021-05-20,1,5.44342919241879,-7.05550442476237,-10.7982910821655,-9.36380219418991,2021-05-15
2021-05-21,1,6.67487119463512,-6.85453696579131,-10.6245118378883,-5.03868000149013,2021-05-15
2021-05-22,1,7.45169508227751,-7.98898062785505,-11.4824326149663,-7.40953268517845,2021-05-15
2021-05-23,1,7.64484570280668,-9.02272549718295,-11.838782673549,-7.11090061353091,2021-05-15
2021-05-24,1,7.03584603717882,-7.66598891894237,-7.17758207770656,-1.26097706474144,2021-05-15
2021-05-25,1,8.19584465520668,-9.25501004660641,-9.5661335540214,-4.62629455104073,2021-05-15
2021-05-15,2,3.91211677565257,-4.8396557552252,-9.38433472920381,-9.89542140173012,2021-05-15
2021-05-16,2,3.90272935605667,-2.50992743811318,-4.84866491875876,-5.05195939366356,2021-05-15
2021-05-17,2,3.47534718801956,-1.35843430475093,-1.63096873405078,-4.31356815997592,2021-05-15
2021-05-18,2,4.05047714920351,-3.4324582109681,-7.033145998788,-7.44892358419918,2021-05-15
2021-05-19,2,3.3102621588975,-0.424549887294831,-1.10661171652063,-3.26532342099482,2021-05-15
2021-05-20,2,4.30793036457148,-4.00820456333481,-8.54411077939432,-9.17239562506309,2021-05-15
2021-05-21,2,4.96903499732661,-4.45649018870788,-9.05170268364322,-8.27790049829847,2021-05-15
2021-05-22,2,6.07219935376013,-6.83046185579089,-11.4571674149442,-9.08316503398446,2021-05-15
2021-05-23,2,6.82339300460671,-7.24112094564001,-11.7979361948032,-8.56555496246304,2021-05-15
2021-05-24,2,6.43671227765824,-7.10873354667693,-10.4179853576521,-7.27745163920151,2021-05-15
2021-05-25,2,6.27297279290903,-4.41728694350729,-6.04605806954496,-1.05307081980323,2021-05-15
2021-05-15,3,4.32670331046555,-3.87733267367224,-10.1368961153298,-10.4222380123156,2021-05-15
2021-05-16,3,3.39043138288117,-0.826084081163067,-4.00764563598182,-7.74893995152013,2021-05-15
2021-05-17,3,4.60481154697087,-3.9151538166304,-10.0166868926851,-11.410940512509,2021-05-15
2021-05-18,3,4.91232907573166,-3.84368500256557,-9.72907446692946,-7.87606514447459,2021-05-15
2021-05-19,3,6.24239920511953,-4.66356883275549,-12.0055512426504,-9.09986360871543,2021-05-15
2021-05-20,3,7.31241875273703,-5.42908050937757,-12.8105228379083,-8.49345914597777,2021-05-15
2021-05-21,3,7.79839464197665,-6.41339851579625,-13.2787996871101,-5.97437841380394,2021-05-15
2021-05-22,3,7.9537544742208,-7.05628835103747,-12.2286748026423,-6.06379393856798,2021-05-15
2021-05-23,3,8.23154836156784,-8.1440891869863,-11.8809811217401,-5.30471209163739,2021-05-15
2021-05-24,3,8.05946869978992,-9.66047782116297,-12.5437884468579,-5.49292132501782,2021-05-15
2021-05-25,3,8.05133942672685,-9.27056085250513,-11.397917579655,-7.24139571352987,2021-05-15
2021-05-15,4,4.28213453542542,-4.5082909445372,-10.223220698751,-12.0211878715672,2021-05-15
2021-05-16,4,3.36906667013855,-2.14312251825714,-4.19546066255581,-4.53725496530012,2021-05-15
2021-05-17,4,3.45320247002152,-2.22366817034711,-3.3719813107061,-4.08521340281753,2021-05-15
2021-05-18,4,5.35663143523513,-6.17093006295565,-8.97154463482934,-6.43283148504075,2021-05-15
2021-05-19,4,6.85490980901704,-7.12184362185121,-11.246003074096,-5.78011256663848,2021-05-15
2021-05-20,4,7.40857045388616,-8.08642205071176,-12.2873649434594,-6.18344359156032,2021-05-15
2021-05-21,4,7.48391143933109,-8.57167040827584,-12.3480626623121,-7.35143991988142,2021-05-15
2021-05-22,4,7.53830330011574,-8.82022142735193,-10.7777482180297,-3.89234057172396,2021-05-15
2021-05-23,4,7.89902429859031,-8.14190203220347,-9.59882062242828,-2.32218065013908,2021-05-15
2021-05-24,4,5.90258026013838,-4.05387649956931,-1.29264929723779,2.75859587092633,2021-05-15
2021-05-25,4,6.34018553355903,-6.02927521343363,-5.42045970128477,-1.19030975708708,2021-05-15
2021-05-15,5,4.30534734752565,-5.24207449440704,-11.237799952802,-13.3661265917853,2021-05-15
2021-05-16,5,2.79353754712516,0.0184382052492166,-1.44779741444255,-4.25923020510425,2021-05-15
2021-05-17,5,3.73815844933259,-2.6683123620826,-6.04427623026965,-7.52216449245912,2021-05-15
2021-05-18,5,4.32213902855325,-4.2190843089932,-8.26634446729494,-8.18268054942312,2021-05-15
2021-05-19,5,5.07258766548452,-5.55697111248853,-10.1245253254469,-8.58979453844446,2021-05-15
2021-05-20,5,5.93219405801219,-7.09698555691379,-11.2749977668097,-9.81758571439849,2021-05-15
2021-05-21,5,5.9351612485399,-6.20934329040906,-8.48163896941921,-6.57107319809051,2021-05-15
2021-05-22,5,4.00986922975435,-2.30452172356462,-1.09182684810445,-0.00813809020018386,2021-05-15
2021-05-23,5,6.37829428035605,-6.86046285214036,-12.3490992598739,-7.94639651260146,2021-05-15
2021-05-24,5,7.35977319725407,-7.42168199617953,-13.4082517384296,-5.70337965107226,2021-05-15
2021-05-25,5,7.98586654709796,-7.1781180233346,-12.425045867993,-5.8705980123697,2021-05-15
2021-05-15,6,4.25954427322435,-4.99377836563929,-10.0352842769715,-10.3890440492246,2021-05-15
2021-05-16,6,3.18262003776885,-2.07464227638614,-1.57241351914347,-3.08658676969814,2021-05-15
2021-05-17,6,2.72300892263297,-2.11666702323769,-0.463809144533372,-3.01243362911827,2021-05-15
